"family","method","label","backend_group","runtime","q1","q3"
"t-SNE","python_opentsne_fft","Python openTSNE via R - CPU (4 cores)","Reference CPU",156.313,156.0345,157.226
"t-SNE","Rtsne_full","Rtsne - CPU (4 cores)","Reference CPU",93.812,93.7865,94.4715
"t-SNE","KlugerLab_FItSNE","FIt-SNE - CPU (4 cores)","Reference CPU",88.693,88.295,88.7705
"t-SNE","fastEmbedR_tsne_cpu_full","fastEmbedR t-SNE - CPU (4 cores)","fastEmbedR CPU",43.287,43.0625,43.65
"t-SNE","fastEmbedR_tsne_metal_full","fastEmbedR t-SNE - Metal","Metal",13.215,13.113,13.2365
"t-SNE","rapids_cuml_tsne_full","RAPIDS cuML t-SNE via R - CUDA","CUDA",6.433,6.4245,6.4445
"t-SNE","fastEmbedR_tsne_cuda_full","fastEmbedR t-SNE - CUDA","CUDA",1.911,1.899,1.9465
"UMAP","umap_package","umap R package - CPU (4 cores)","Reference CPU",938.783,922.178,942.2865
"UMAP","python_umap_learn","Python umap-learn via R - CPU (4 cores)","Reference CPU",83.356,83.1485,84.211
"UMAP","uwot_default","uwot default - CPU (4 cores)","Reference CPU",68.042,67.8455,68.103
"UMAP","fastEmbedR_umap_cpu_binary_full","fastEmbedR binary UMAP - CPU (4 cores)","fastEmbedR CPU",61.463,61.3465,61.5405
"UMAP","uwot_fast_sgd","uwot fast SGD - CPU (4 cores)","Reference CPU",48.807,48.7955,49.1445
"UMAP","fastEmbedR_umap_cpu_fuzzy_full","fastEmbedR fuzzy UMAP - CPU (4 cores)","fastEmbedR CPU",29.294,29.293,29.379
"UMAP","fastEmbedR_umap_metal_binary_full","fastEmbedR binary UMAP - Metal","Metal",12.55,12.5065,12.7065
"UMAP","fastEmbedR_umap_metal_fuzzy_full","fastEmbedR fuzzy UMAP - Metal","Metal",11.633,11.6105,11.7105
"UMAP","rapids_cuml_umap_full","RAPIDS cuML UMAP via R - CUDA","CUDA",4.099,4.0905,4.1205
"UMAP","fastEmbedR_umap_cuda_binary_full","fastEmbedR binary UMAP - CUDA","CUDA",1.059,1.0555,1.0625
"UMAP","fastEmbedR_umap_cuda_fuzzy_full","fastEmbedR fuzzy UMAP - CUDA","CUDA",0.973,0.96,0.9855
